reportdate,Acute,ICU
2023-03-20,NA,NA
2023-03-21,NA,NA
2023-03-22,NA,NA
2023-03-23,NA,NA
2023-03-24,NA,NA
2023-03-25,NA,NA
2023-03-26,207.85714285714286,26
2023-03-27,205.57142857142858,26.571428571428573
2023-03-28,201,26
2023-03-29,197.42857142857142,26
2023-03-30,194.71428571428572,27.142857142857142
2023-03-31,187.28571428571428,27
2023-04-01,179,26.428571428571427
2023-04-02,172.14285714285714,26
2023-04-03,168.42857142857142,25.428571428571427
2023-04-04,164.71428571428572,25.428571428571427
2023-04-05,158.85714285714286,24.714285714285715
2023-04-06,151.71428571428572,23.428571428571427
2023-04-07,145.42857142857142,22.285714285714285
2023-04-08,139.85714285714286,22
2023-04-09,134.14285714285714,22.142857142857142
2023-04-10,126.14285714285714,22
2023-04-11,117.14285714285714,21.714285714285715
2023-04-12,111.85714285714286,21.714285714285715
2023-04-13,108.57142857142857,22
2023-04-14,109,22.714285714285715
2023-04-15,108.42857142857143,22.857142857142858
2023-04-16,109,21.857142857142858
2023-04-17,110.57142857142857,20.428571428571427
2023-04-18,111.71428571428571,18.714285714285715
2023-04-19,110.42857142857143,17.857142857142858
2023-04-20,107.85714285714286,16.714285714285715
2023-04-21,104.14285714285714,15.714285714285714
2023-04-22,99.42857142857143,15
2023-04-23,94.42857142857143,15
2023-04-24,89.28571428571429,15.428571428571429
2023-04-25,86,15.714285714285714
2023-04-26,82.14285714285714,15.428571428571429
2023-04-27,80.57142857142857,15.142857142857142
2023-04-28,79.28571428571429,15
2023-04-29,81.57142857142857,15.142857142857142
2023-04-30,81.14285714285714,15.857142857142858
2023-05-01,80.14285714285714,15.857142857142858
2023-05-02,79,16.142857142857142
2023-05-03,82.71428571428571,15.714285714285714
2023-05-04,82.57142857142857,15.571428571428571
2023-05-05,81.14285714285714,15.142857142857142
2023-05-06,78.57142857142857,14.285714285714286
2023-05-07,77.42857142857143,12.857142857142858
2023-05-08,75.57142857142857,11.857142857142858
2023-05-09,73.57142857142857,11.571428571428571
2023-05-10,69.42857142857143,11.714285714285714
2023-05-11,66.71428571428571,12
2023-05-12,65.42857142857143,13.428571428571429
2023-05-13,65.28571428571429,13.571428571428571
2023-05-14,65.28571428571429,13.857142857142858
2023-05-15,66.28571428571429,14.142857142857142
2023-05-16,66.57142857142857,14.285714285714286
2023-05-17,66.42857142857143,14.571428571428571
2023-05-18,67.71428571428571,14.571428571428571
2023-05-19,68.28571428571429,13.571428571428571
2023-05-20,68.14285714285714,14
2023-05-21,67.71428571428571,14.571428571428571
2023-05-22,67.14285714285714,14.714285714285714
2023-05-23,67.85714285714286,14.285714285714286
2023-05-24,69,13.571428571428571
2023-05-25,69.71428571428571,13.142857142857142
2023-05-26,70,13
2023-05-27,68.71428571428571,12.714285714285714
2023-05-28,69.28571428571429,12
2023-05-29,69.71428571428571,11.857142857142858
2023-05-30,70.57142857142857,11.857142857142858
2023-05-31,70.28571428571429,12.285714285714286
2023-06-01,70.57142857142857,12.571428571428571
2023-06-02,70.28571428571429,12.428571428571429
2023-06-03,70.42857142857143,11.857142857142858
2023-06-04,68.14285714285714,11
2023-06-05,65.57142857142857,10.571428571428571
2023-06-06,61.857142857142854,10.285714285714286
2023-06-07,59,9.285714285714286
2023-06-08,56.285714285714285,8.285714285714286
2023-06-09,55.285714285714285,7.571428571428571
2023-06-10,56.42857142857143,7
2023-06-11,58.285714285714285,7.142857142857143
2023-06-12,60,7.142857142857143
2023-06-13,62,6.857142857142857
2023-06-14,64.14285714285714,7.428571428571429
2023-06-15,65.28571428571429,8.142857142857142
2023-06-16,65.71428571428571,8.571428571428571
2023-06-17,65.28571428571429,9.142857142857142
2023-06-18,63.857142857142854,9.857142857142858
2023-06-19,62.57142857142857,10.714285714285714
2023-06-20,61.285714285714285,11.285714285714286
2023-06-21,59.142857142857146,11.857142857142858
2023-06-22,58.142857142857146,12
2023-06-23,57.42857142857143,12.571428571428571
2023-06-24,54.714285714285715,13
2023-06-25,53.142857142857146,13.428571428571429
2023-06-26,51,13.428571428571429
2023-06-27,49.285714285714285,13.285714285714286
2023-06-28,47.57142857142857,12.714285714285714
2023-06-29,46.42857142857143,13
2023-06-30,45.42857142857143,12.428571428571429
2023-07-01,45.42857142857143,12
2023-07-02,45.285714285714285,11.285714285714286
2023-07-03,47.857142857142854,11
2023-07-04,50.857142857142854,11.285714285714286
2023-07-05,55.285714285714285,11.142857142857142
2023-07-06,58,10.857142857142858
2023-07-07,60.857142857142854,11.428571428571429
2023-07-08,64,11.714285714285714
2023-07-09,67.28571428571429,11.571428571428571
