date,avg7
2022-09-20,NA
2022-09-21,NA
2022-09-22,NA
2022-09-23,NA
2022-09-24,NA
2022-09-25,NA
2022-09-26,NA
2022-09-27,818.5714285714286
2022-09-28,807.8571428571429
2022-09-29,775
2022-09-30,755
2022-10-01,730.2857142857143
2022-10-02,724.4285714285714
2022-10-03,718.4285714285714
2022-10-04,703.7142857142857
2022-10-05,674.5714285714286
2022-10-06,671.2857142857143
2022-10-07,661.8571428571429
2022-10-08,648.5714285714286
2022-10-09,633.7142857142857
2022-10-10,632.8571428571429
2022-10-11,602.5714285714286
2022-10-12,616.4285714285714
2022-10-13,597.7142857142857
2022-10-14,592.5714285714286
2022-10-15,601.7142857142857
2022-10-16,602.7142857142857
2022-10-17,606.4285714285714
2022-10-18,652.7142857142857
2022-10-19,639.4285714285714
2022-10-20,646.7142857142857
2022-10-21,638
2022-10-22,622.7142857142857
2022-10-23,619.5714285714286
2022-10-24,617.7142857142857
2022-10-25,601.5714285714286
2022-10-26,591.5714285714286
2022-10-27,612.8571428571429
2022-10-28,637.2857142857143
2022-10-29,657.7142857142857
2022-10-30,664
2022-10-31,657.1428571428571
2022-11-01,683.8571428571429
2022-11-02,695.5714285714286
2022-11-03,694.1428571428571
2022-11-04,690.7142857142857
2022-11-05,698.2857142857143
2022-11-06,702.2857142857143
2022-11-07,720.4285714285714
2022-11-08,723.5714285714286
2022-11-09,701.5714285714286
2022-11-10,688.2857142857143
2022-11-11,675.2857142857143
2022-11-12,622.8571428571429
2022-11-13,609.7142857142857
2022-11-14,581.2857142857143
2022-11-15,571.5714285714286
2022-11-16,589.7142857142857
2022-11-17,581.7142857142857
2022-11-18,579.4285714285714
2022-11-19,614.4285714285714
2022-11-20,623.8571428571429
2022-11-21,631.1428571428571
2022-11-22,618
2022-11-23,613.2857142857143
2022-11-24,611
2022-11-25,577.7142857142857
2022-11-26,513
2022-11-27,500.2857142857143
2022-11-28,510.85714285714283
2022-11-29,568.5714285714286
2022-11-30,590.2857142857143
2022-12-01,671.2857142857143
2022-12-02,779.4285714285714
2022-12-03,879.2857142857143
2022-12-04,949.7142857142857
2022-12-05,962
2022-12-06,931.8571428571429
2022-12-07,944
2022-12-08,906.2857142857143
2022-12-09,890.5714285714286
2022-12-10,908.5714285714286
2022-12-11,882.2857142857143
2022-12-12,886.1428571428571
2022-12-13,924.7142857142857
2022-12-14,948.4285714285714
2022-12-15,974.8571428571429
2022-12-16,962.4285714285714
2022-12-17,998
2022-12-18,1023.4285714285714
2022-12-19,1044.7142857142858
2022-12-20,995.1428571428571
2022-12-21,1076.7142857142858
2022-12-22,1051.857142857143
2022-12-23,1081.2857142857142
2022-12-24,1061.2857142857142
2022-12-25,1039.857142857143
2022-12-26,1025.142857142857
2022-12-27,980.2857142857143
2022-12-28,839.8571428571429
2022-12-29,932.1428571428571
2022-12-30,976.5714285714286
2022-12-31,983.8571428571429
2023-01-01,1008
2023-01-02,1015.7142857142857
2023-01-03,1014.8571428571429
2023-01-04,1138.857142857143
2023-01-05,1087.7142857142858
2023-01-06,1066.4285714285713
2023-01-07,1091.857142857143
2023-01-08,1087.2857142857142
2023-01-09,1085.2857142857142
2023-01-10,1240
2023-01-11,1154.142857142857
2023-01-12,1106.5714285714287
2023-01-13,1056.5714285714287
2023-01-14,966.2857142857143
2023-01-15,927.1428571428571
2023-01-16,897.1428571428571
2023-01-17,736.1428571428571
2023-01-18,772.4285714285714
2023-01-19,750.7142857142857
2023-01-20,697.1428571428571
2023-01-21,735.8571428571429
2023-01-22,738.7142857142857
2023-01-23,757.1428571428571
2023-01-24,835.2857142857143
2023-01-25,807.5714285714286
2023-01-26,824.5714285714286
2023-01-27,847.2857142857143
2023-01-28,803
2023-01-29,772.1428571428571
2023-01-30,753.2857142857143
2023-01-31,724.7142857142857
2023-02-01,689.1428571428571
2023-02-02,635.2857142857143
2023-02-03,631.5714285714286
2023-02-04,638.8571428571429
2023-02-05,657.5714285714286
2023-02-06,651.1428571428571
2023-02-07,655.1428571428571
2023-02-08,643.1428571428571
2023-02-09,665.7142857142857
2023-02-10,647.7142857142857
2023-02-11,627.4285714285714
2023-02-12,627.1428571428571
2023-02-13,627.2857142857143
2023-02-14,615.7142857142857
2023-02-15,600.8571428571429
2023-02-16,586.8571428571429
2023-02-17,572.8571428571429
2023-02-18,549.8571428571429
2023-02-19,537.8571428571429
2023-02-20,536.1428571428571
2023-02-21,476.57142857142856
2023-02-22,500.14285714285717
2023-02-23,474.57142857142856
2023-02-24,464.14285714285717
2023-02-25,469.7142857142857
2023-02-26,454
2023-02-27,450.85714285714283
2023-02-28,478.42857142857144
2023-03-01,440.14285714285717
2023-03-02,442.7142857142857
2023-03-03,420.14285714285717
2023-03-04,412.85714285714283
2023-03-05,408.7142857142857
2023-03-06,401.57142857142856
2023-03-07,389
2023-03-08,381.42857142857144
2023-03-09,373.14285714285717
2023-03-10,377.7142857142857
2023-03-11,355.57142857142856
2023-03-12,356.85714285714283
2023-03-13,353.85714285714283
2023-03-14,347
2023-03-15,347.2857142857143
2023-03-16,328.42857142857144
2023-03-17,320.85714285714283
2023-03-18,313.42857142857144
2023-03-19,300.14285714285717
2023-03-20,294.2857142857143
2023-03-21,286.14285714285717
2023-03-22,277.7142857142857
2023-03-23,293.85714285714283
2023-03-24,300.85714285714283
2023-03-25,305.57142857142856
2023-03-26,308.7142857142857
2023-03-27,315.57142857142856
2023-03-28,310.85714285714283
2023-03-29,300
2023-03-30,288.42857142857144
2023-03-31,271.85714285714283
2023-04-01,260.7142857142857
